patent_id,pagerank,rank_pr,patent_title_pr
4237224,2.93E-05,1,Process for producing biologically functional molecular chimeras
3813316,2.52E-05,2,- No title available -
4309756,1.86E-05,3,Method of automatically evaluating source language logic condition sets and of compiling machine executable instructions directly therefrom
4558413,1.80E-05,4,Software version management system
4395486,1.75E-05,5,Method for the direct analysis of sickle cell anemia
4683202,1.75E-05,6,Process for amplifying nucleic acid sequences
4683195,1.68E-05,7,"Process for amplifying, detecting, and/or-cloning nucleic acid sequences"
4298685,1.58E-05,8,Diagnostic reagent
3988545,1.58E-05,9,Method of transmitting information and multiplexing device for executing the method
5523520,1.32E-05,10,Mutant dwarfism gene of petunia
3932805,1.27E-05,11,Method of obtaining internal information of a measuring target from the out-side by the application of a nuclear magnetic resonance phenomenon
3747120,1.21E-05,12,- No title available -
4074232,1.18E-05,13,Data sending and receiving system for packet switching network
3956615,1.11E-05,14,Transaction execution system with secure data storage and communications
3898390,1.09E-05,15,- No title available -
3749845,1.04E-05,16,- No title available -
4251824,1.00E-05,17,Liquid jet recording method with variable thermal viscosity modulation
4812599,9.92E-06,18,Inbred corn line PHV78
4063220,9.88E-06,19,Multipoint data communication system with collision detection
4358535,9.82E-06,20,Specific DNA probes in diagnostic microbiology
3663762,9.58E-06,21,- No title available -
3798359,9.35E-06,22,- No title available -
5103459,9.06E-06,23,System and method for generating signal waveforms in a CDMA cellular telephone system
3906166,8.92E-06,24,- No title available -
3778614,8.83E-06,25,- No title available -
4032899,8.77E-06,26,Apparatus and method for switching of data
4320500,8.52E-06,27,Method of and system for routing in a packet-switched communication network
4200770,8.45E-06,28,Cryptographic apparatus and method
4901307,8.41E-06,29,Spread spectrum multiple access communication system using satellite or terrestrial repeaters
4539507,8.26E-06,30,Organic electroluminescent devices having improved power conversion efficiencies
4144412,8.19E-06,31,Method of assigning a radio channel to a calling mobile body of mobile communication system and radio channel assigning system therefor
4463359,8.16E-06,32,Droplet generating method and apparatus thereof
4346442,8.16E-06,33,Securities brokerage-cash management system
4723129,8.12E-06,34,Bubble jet recording method and apparatus in which a heating element generates bubbles in a liquid flow path to project droplets
3789832,8.12E-06,35,- No title available -
5572643,7.92E-06,36,Web browser with dynamic display of information objects during linking
4193131,7.77E-06,37,Cryptographic verification of operational keys used in communication networks
4315315,7.77E-06,38,Graphical automatic programming
4064521,7.75E-06,39,Semiconductor device having a body of amorphous silicon
4203158,7.70E-06,40,Electrically programmable and erasable MOS floating gate memory device employing tunneling and method of fabricating same
4432057,7.68E-06,41,"Method for the dynamic replication of data under distributed system control to control utilization of resources in a multiprocessing, distributed data base system"
4405829,7.67E-06,42,Cryptographic communications system and method
4555775,7.64E-06,43,Dynamic generation and overlaying of graphic windows for multiple active program storage areas
3890471,7.60E-06,44,- No title available -
4218582,7.59E-06,45,Public key cryptographic apparatus and method
3766322,7.51E-06,46,- No title available -
3500142,7.50E-06,47,- No title available -
3840695,7.43E-06,48,- No title available -
4377849,7.37E-06,49,Macro assembler process for automated circuit design
5056109,7.35E-06,50,Method and apparatus for controlling transmission power in a CDMA cellular mobile telephone system
4399531,7.32E-06,51,Distributed digital data communications network
4196265,7.32E-06,52,Method of producing antibodies
3597549,7.23E-06,53,- No title available -
3798360,7.17E-06,54,- No title available -
4021726,7.14E-06,55,Image formation using nuclear magnetic resonance
4464650,7.07E-06,56,Apparatus and method for compressing data signals and restoring the compressed data signals
3962539,7.06E-06,57,Product block cipher system for data security
4591983,7.05E-06,58,Hierarchical knowledge system
3798605,6.95E-06,59,- No title available -
2921124,6.94E-06,60,- No title available -
4287592,6.94E-06,61,Method and apparatus for interfacing stations in a multiloop communications system
4243994,6.86E-06,62,Liquid recording medium
3533086,6.83E-06,63,- No title available -
3906460,6.82E-06,64,- No title available -
4283771,6.80E-06,65,On-chip bubble domain relational data base system
4343993,6.79E-06,66,Scanning tunneling microscope
4730340,6.75E-06,67,Programmable time invariant coherent spread symbol correlator
4367924,6.74E-06,68,Chiral smectic C or H liquid crystal electro-optical device
4001783,6.72E-06,69,Priority interrupt mechanism
3657476,6.59E-06,70,- No title available -
4191860,6.59E-06,71,Data base communication call processing method
4194242,6.55E-06,72,Method and system for determining interest rates
4007450,6.54E-06,73,Data sharing computer network
3852157,6.49E-06,74,- No title available -
4158236,6.47E-06,75,Electronic dictionary and language interpreter
4769292,6.43E-06,76,Electroluminescent device with modified thin film luminescent zone
4455619,6.43E-06,77,Interactive equipment for computer programming by linkage of labeled block representations of arithmetic/logical subprograms
3878519,6.42E-06,78,- No title available -
4103315,6.41E-06,79,Antiferromagnetic-ferromagnetic exchange bias films
3796835,6.40E-06,80,- No title available -
4178476,6.37E-06,81,Automatic nationwide paging system
3905023,6.35E-06,82,- No title available -
4740796,6.35E-06,83,Bubble jet recording method and apparatus in which a heating element generates bubbles in multiple liquid flow paths to project droplets
4353086,6.34E-06,84,Silicon integrated circuits
4264782,6.34E-06,85,Method and apparatus for transaction and identity verification
4356429,6.33E-06,86,Organic electroluminescent cell
4120030,6.31E-06,87,Computer software security system
3082402,6.30E-06,88,- No title available -
2768114,6.29E-06,89,- No title available -
4313035,6.26E-06,90,Method of providing person locator service
3950733,6.26E-06,91,Information processing system
3845277,6.26E-06,92,- No title available -
4338397,6.23E-06,93,Mature protein synthesis
4314367,6.23E-06,94,Switching circuit for digital packet switching network
4228496,6.21E-06,95,Multiprocessor system
3839153,6.19E-06,96,- No title available -
4706081,6.18E-06,97,Method and apparatus for bridging local area networks
3984626,6.15E-06,98,Picture signal coder
4197590,6.10E-06,99,Method for dynamically viewing image elements stored in a random access memory array
4269891,6.06E-06,100,Recording sheet for ink jet recording
3710324,6.05E-06,101,- No title available -
4313124,6.05E-06,102,Liquid jet recording process and liquid jet recording head
4558333,6.04E-06,103,Liquid jet recording head
4123747,6.03E-06,104,Identity verification method and apparatus
4485486,6.03E-06,105,Method and apparatus for assigning duplex radio channels and scanning duplex radio channels assigned to mobile and portable radio telephones in a cellular radiotelephone communications system
4164751,5.99E-06,106,High capacity dynamic ram cell
4503569,5.98E-06,107,Transluminally placed expandable graft prosthesis
4757267,5.95E-06,108,Telephone system for connecting a customer to a supplier of goods
4345262,5.92E-06,109,Ink jet recording method
3976982,5.89E-06,110,Apparatus for image manipulation
4355374,5.87E-06,111,Semiconductor memory device
4679189,5.86E-06,112,Alternate routing arrangement
4380063,5.86E-06,113,Flow control mechanism for block switching nodes
4475104,5.85E-06,114,Three-dimensional display system
4656603,5.84E-06,115,Schematic diagram generating system using library of general purpose interactively selectable graphic primitives to create special applications icons
4161786,5.81E-06,116,Digital bus communications system
4168400,5.79E-06,117,Digital communication system
4099196,5.79E-06,118,Triple layer polysilicon cell
4475010,5.78E-06,119,High density cellular mobile radio communications
5367109,5.78E-06,120,Inbred corn line PHHB9
3859638,5.77E-06,121,- No title available -
4222115,5.76E-06,122,Spread spectrum apparatus for cellular mobile communication systems
4949039,5.74E-06,123,Magnetic field sensor with ferromagnetic thin layers having magnetically antiparallel polarized components
5101501,5.73E-06,124,Method and system for providing a soft handoff in communications in a CDMA cellular telephone system
4706121,5.72E-06,125,TV schedule system and process
4546435,5.71E-06,126,Graphic computer system and keyboard
5045417,5.70E-06,127,Mask for manufacturing semiconductor device and method of manufacture thereof
3862360,5.68E-06,128,- No title available -
4506326,5.64E-06,129,Apparatus and method for synthesizing a query for accessing a relational data base
3819872,5.62E-06,130,- No title available -
3903645,5.59E-06,131,- No title available -
5008853,5.57E-06,132,Representation of collaborative multi-user activities relative to shared structured data objects in a networked workstation environment
3889270,5.56E-06,133,- No title available -
4325120,5.55E-06,134,Data processing system
3387286,5.55E-06,135,- No title available -
4627052,5.54E-06,136,Interconnection of communications networks
4344134,5.54E-06,137,Partitionable parallel processor
4816567,5.51E-06,138,Recombinant immunoglobin preparations
4134792,5.49E-06,139,Specific binding assay with an enzyme modulator as a labeling substance
4115730,5.49E-06,140,Nuclear magnetic resonance apparatus and methods
4597078,5.49E-06,141,Bridge circuit for interconnecting networks
4459600,5.49E-06,142,Liquid jet recording device
4570227,5.48E-06,143,Portable map display apparatus
4459663,5.48E-06,144,Data processing machine and method of allocating inventory stock for generating work orders for producing manufactured components
3764915,5.46E-06,145,- No title available -
4765753,5.45E-06,146,Method and apparatus for handing-over a radio connection from one radio cell to another radio cell of a digital radio transmission system
3763365,5.45E-06,147,- No title available -
5774660,5.45E-06,148,World-wide-web server with delayed resource-binding for resource-based load balancing on a distributed resource multi-node network
3958081,5.44E-06,149,Block cipher system for data security
4302775,5.42E-06,150,Digital video compression system and methods utilizing scene adaptive coding with rate buffer feedback
4447886,5.40E-06,151,Triangle and pyramid signal transforms and apparatus
5850009,5.39E-06,152,Inbred maize line PH0HC
3856513,5.38E-06,153,- No title available -
4112257,5.37E-06,154,Comprehensive automatic mobile radio telephone system
4144496,5.36E-06,155,Mobile communication system and method employing frequency reuse within a geographical service area
4604686,5.34E-06,156,Associative data access method (ADAM) and its means of implementation
2724740,5.32E-06,157,- No title available -
4769772,5.31E-06,158,Automated query optimization method using both global and parallel local optimizations for materialization access planning for distributed databases
4484326,5.29E-06,159,Packet load monitoring by trunk controllers
4813013,5.26E-06,160,Schematic diagram generating system using library of general purpose interactively selectable graphic primitives to create special applications icons
4780821,5.25E-06,161,Method for multiple programs management within a network having a server computer and a plurality of remote computers
4305131,5.25E-06,162,Dialog between TV movies and human viewers
4154983,5.24E-06,163,Loop carrier system for telecommunication and data services
4613990,5.23E-06,164,Radiotelephone transmission power control
5304719,5.23E-06,165,Inbred corn line PHT47
3310741,5.22E-06,166,- No title available -
4307420,5.20E-06,167,Motion-compensated interframe coding system
5043736,5.14E-06,168,Cellular position locating system
4321672,5.13E-06,169,Financial data processing system
4488179,5.12E-06,170,Television viewing center system
4104718,5.10E-06,171,System for protecting shared files in a multiprogrammed computer
3585088,5.09E-06,172,- No title available -
4082613,5.09E-06,173,Process for the production of insulin by genetically transformed fungal cells
4015196,5.07E-06,174,Analysis of materials
4731499,5.07E-06,175,Hybrid corn plant and seed
3702886,5.07E-06,176,- No title available -
3816722,5.03E-06,177,- No title available -
5143854,5.03E-06,178,Large scale photolithographic solid phase synthesis of polypeptides and receptor binding screening thereof
3852571,5.03E-06,179,- No title available -
4250570,5.02E-06,180,Redundant memory circuit
4468728,5.01E-06,181,Data structure and search method for a data base management system
4419446,5.01E-06,182,Recombinant DNA process utilizing a papilloma virus DNA as a vector
3737879,5.00E-06,183,- No title available -
4104086,5.00E-06,184,Method for forming isolated regions of silicon utilizing reactive ion etching
4737978,4.99E-06,185,Networked cellular radiotelephone systems
5206590,4.99E-06,186,Magnetoresistive sensor based on the spin valve effect
4172124,4.99E-06,187,Method of producing tumor antibodies
3946398,4.97E-06,188,Method and apparatus for recording with writing fluids and drop projection means therefor
3702464,4.95E-06,189,- No title available -
4277837,4.95E-06,190,Personal portable terminal for financial transactions
4809170,4.94E-06,191,Computer device for aiding in the development of software system
3946432,4.93E-06,192,Apparatus for digitally encoding a television signal
4001550,4.93E-06,193,Universal funds transfer and identification card
3868956,4.92E-06,194,- No title available -
4742018,4.91E-06,195,Process for producing memory cell having stacked capacitor
4144411,4.90E-06,196,Cellular radiotelephone system structured for flexible use of different cell sizes
4251880,4.89E-06,197,Digital loop switch for controlling data information having differing transmission characteristics
3728695,4.89E-06,198,- No title available -
4186871,4.88E-06,199,Transaction execution system with secure encryption key storage and communications
5640343,4.87E-06,200,Magnetic memory array using magnetic tunnel junction devices in the memory cells
4070710,4.86E-06,201,Raster scan display apparatus for dynamically viewing image elements stored in a random access memory array
3950357,4.86E-06,202,Antibiotics
4670899,4.85E-06,203,Load balancing for cellular radiotelephone system
4930071,4.84E-06,204,Method for integrating a knowledge-based system with an arbitrary database system
3836992,4.83E-06,205,- No title available -
3769593,4.81E-06,206,- No title available -
3763480,4.80E-06,207,- No title available -
3996657,4.80E-06,208,Double polycrystalline silicon gate memory device
3757037,4.79E-06,209,- No title available -
3621321,4.77E-06,210,- No title available -
4246638,4.76E-06,211,Method and apparatus for controlling usage of a programmable computing machine
4550397,4.76E-06,212,Alternate paths in a self-routing packet switching network
4445118,4.75E-06,213,Navigation system and method
3400371,4.75E-06,214,- No title available -
4003036,4.75E-06,215,Single IGFET memory cell with buried storage element
4383272,4.74E-06,216,Video signal interpolation using motion estimation
3913017,4.74E-06,217,- No title available -
3784802,4.74E-06,218,- No title available -
5536637,4.73E-06,219,Method of screening for cDNA encoding novel secreted mammalian proteins in yeast
3859527,4.72E-06,220,- No title available -
4016540,4.72E-06,221,Apparatus and method for providing interactive audio communication
4218738,4.69E-06,222,Method for authenticating the identity of a user of an information system
4423287,4.69E-06,223,End-to-end encryption system and method of operation
3615956,4.68E-06,224,- No title available -
4345116,4.67E-06,225,"Dynamic, non-hierarchical arrangement for routing traffic"
4318184,4.66E-06,226,Information storage and retrieval system and method
4262090,4.66E-06,227,Interferon production
4354263,4.65E-06,228,Computer-communications concentrator for transmission and switching of packetized data
4399216,4.65E-06,229,Processes for inserting DNA into eucaryotic cells and for producing proteinaceous materials
4720432,4.64E-06,230,Electroluminescent device with organic luminescent medium
5109390,4.64E-06,231,Diversity receiver in a CDMA cellular telephone system
4286330,4.63E-06,232,Autonomic string-manipulation system
4059461,4.60E-06,233,Method for improving the crystallinity of semiconductor films by laser beam scanning and the products thereof
3753244,4.60E-06,234,- No title available -
4007355,4.60E-06,235,Data-transfer system
4899136,4.59E-06,236,Data processor having a user interface display with metaphoric objects
3906540,4.59E-06,237,- No title available -
5147826,4.58E-06,238,Low temperature crystallization and pattering of amorphous silicon films
4603416,4.58E-06,239,(Time division multiplex) switching system for routing trains of constant length data packets
3787822,4.56E-06,240,- No title available -
3588829,4.56E-06,241,- No title available -
4121286,4.55E-06,242,Data processing memory space allocation and deallocation arrangements
3683212,4.55E-06,243,- No title available -
4086632,4.55E-06,244,Area navigation system including a map display unit for establishing and modifying navigation routes
4654466,4.55E-06,245,Inbred corn line
3771137,4.54E-06,246,- No title available -
4853843,4.54E-06,247,System for merging virtual partitions of a distributed database
3795557,4.53E-06,248,- No title available -
4491628,4.52E-06,249,Positive- and negative-working resist compositions with acid generating photoinitiator and polymer with acid labile groups pendant from polymer backbone
4019073,4.52E-06,250,Piezoelectric motor structures
5754939,4.52E-06,251,System for generation of user profiles for a system for customized electronic identification of desirable objects
4288659,4.51E-06,252,Method and means for securing the distribution of encoding keys
4105156,4.50E-06,253,Identification system safeguarded against misuse
4796189,4.49E-06,254,Navigation system for automotive vehicle with automatic navigation start and navigation end point search and automatic route selection
4404344,4.48E-06,255,Preparing ethylene polymers using Ziegler catalyst comprising cyclodienyl compound of zirconium
4211919,4.47E-06,256,Portable data carrier including a microprocessor
4648044,4.46E-06,257,Basic expert system tool
4799156,4.46E-06,258,Interactive market management system
4644532,4.45E-06,259,Automatic update of topology in a hybrid network
3961103,4.44E-06,260,Film deposition
3893166,4.42E-06,261,- No title available -
5159592,4.42E-06,262,Network address management for a wired network supporting wireless communication to a plurality of mobile users
3979733,4.42E-06,263,Digital data communications system packet switch
4182933,4.41E-06,264,Secure communication system with remote key setting
4675829,4.41E-06,265,Method and apparatus for building knowledge-based systems
4081612,4.39E-06,266,Method for building-up of routing addresses in a digital telecommunication network
3985998,4.39E-06,267,Personal authority verification system
4058672,4.39E-06,268,Packet-switched data communications system
4670848,4.38E-06,269,Artificial intelligence system
4168396,4.38E-06,270,Microprocessor for executing enciphered programs
3773924,4.38E-06,271,- No title available -
4621321,4.37E-06,272,Secure data processing system architecture
3710511,4.34E-06,273,- No title available -
4128773,4.34E-06,274,Volatile/non-volatile logic latch circuit
4698787,4.34E-06,275,Single transistor electrically programmable memory device and method
4347498,4.33E-06,276,Method and means for demand accessing and broadcast transmission among ports in a distributed star network
3984822,4.32E-06,277,Double polycrystalline silicon gate memory device
3988677,4.30E-06,278,Space communication system for compressed data with a concatenated Reed-Solomon-Viterbi coding channel
4291277,4.29E-06,279,Adaptive predistortion technique for linearizing a power amplifier for digital data systems
4607453,4.28E-06,280,Hybrid corn plants with improved standability
4631664,4.28E-06,281,Partnership data base management system and method
4096567,4.27E-06,282,Information storage facility with multiple level processors
4051464,4.25E-06,283,Semiconductor memory cell
4163249,4.25E-06,284,Picture processing system for television
4438824,4.25E-06,285,Apparatus and method for cryptographic identity verification
4368592,4.24E-06,286,Semi-dwarf maize and method
3854793,4.24E-06,287,- No title available -
4239346,4.23E-06,288,Compact liquid crystal display system
4733665,4.23E-06,289,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft"
4517763,4.23E-06,290,Hybridization process utilizing a combination of cytoplasmic male sterility and herbicide tolerance
3833885,4.21E-06,291,- No title available -
4229790,4.21E-06,292,Concurrent task and instruction processor and method
4394443,4.20E-06,293,Method for cloning genes
4318043,4.20E-06,294,Method and apparatus for rapid NMR imaging of nuclear densities within an object
4278837,4.20E-06,295,Crypto microprocessor for executing enciphered programs
3560478,4.19E-06,296,- No title available -
4012757,4.18E-06,297,Contactless random-access memory cell and cell pair
4180596,4.16E-06,298,Method for providing a metal silicide layer on a substrate
5998925,4.16E-06,299,Light emitting device having a nitride compound semiconductor and a phosphor containing a garnet fluorescent material
4303973,4.16E-06,300,Industrial process control system
4025760,4.16E-06,301,Security means for transaction terminal system
4203166,4.16E-06,302,Cryptographic file security for multiple domain networks
3787673,4.15E-06,303,- No title available -
4460975,4.14E-06,304,Easily accessible formating of computer printouts
4993068,4.13E-06,305,Unforgeable personal identification system
3969706,4.12E-06,306,Dynamic random access memory misfet integrated circuit
4479196,4.12E-06,307,Hyperedge entity-relationship data base systems
3790703,4.12E-06,308,- No title available -
4577313,4.11E-06,309,Routing mechanism with encapsulated FCS for a multi-ring local area network
4227253,4.11E-06,310,Cryptographic communication security for multiple domain networks
5037760,4.11E-06,311,Secretory signal selection vectors for extracellular protein synthesis bacilli
4301518,4.10E-06,312,Differential sensing of single ended memory array
4658093,4.09E-06,313,Software distribution system
4399504,4.09E-06,314,"Method and means for the sharing of data resources in a multiprocessing, multiprogramming environment"
5172338,4.09E-06,315,Multi-state EEprom read and write circuits and techniques
4467421,4.09E-06,316,Virtual storage system and method
4271506,4.08E-06,317,High speed data switching node
3761327,4.06E-06,318,- No title available -
4312577,4.06E-06,319,Motor vehicle map display system
4658370,4.06E-06,320,Knowledge engineering tool
4335426,4.06E-06,321,Remote processor initialization in a multi-station peer-to-peer intercommunication system
3573747,4.05E-06,322,- No title available -
4281380,4.05E-06,323,Bus collision avoidance system for distributed network data processing communications system
4635189,4.04E-06,324,Real-time distributed data-base management system
4586035,4.03E-06,325,Display terminal with a cursor responsive virtual distributed menu
4837798,4.03E-06,326,Communication system having unified messaging
3983140,4.02E-06,327,Physiologically active substances
4672658,4.02E-06,328,Spread spectrum wireless PBX
